method,status,iterations,metric,unit,repetition_1,repetition_2,repetition_3,median,min,max,T_total_includes_certification,component_counters_are_inclusive,accounting_note
Standard HiSD,max_iter,2000000,T_total,seconds,539.9513593340525,536.6156069579301,545.4375791250495,539.9513593340525,536.6156069579301,545.4375791250495,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_setup_update,seconds,0,0,0,0,0,0,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_apply_solve,seconds,0,0,0,0,0,0,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_eig,seconds,404.3429916407913,401.4431267667096,405.35875216615386,404.3429916407913,401.4431267667096,405.35875216615386,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_cert,seconds,0.05704262503422797,0.0611731669632718,0.05892195797059685,0.05892195797059685,0.05704262503422797,0.0611731669632718,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_setup_phase1,seconds,0,0,0,0,0,0,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_setup_phase2,seconds,0,0,0,0,0,0,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_apply,seconds,0,0,0,0,0,0,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_solve,seconds,0,0,0,0,0,0,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
Standard HiSD,max_iter,2000000,T_eig_initial,seconds,0.03093529201578349,0.030912583926692605,0.02979804202914238,0.030912583926692605,0.02979804202914238,0.03093529201578349,False,True,Component counters are inclusive diagnostics and must not be summed to obtain T_total. Phase-2 sigma spectral work overlaps setup/update and eig; frame metric applications/solves overlap eig. Internal generalized eigsh metric work remains within eig. T_cert is one shared posthoc block repeated in both method rows; do not add its two rows.
